FIELD,DESCRIPTION
Year,2015
Country,Greece
Region,Europe
Event Name,Lefkada 2015
Local Date,17/11/2015
Local Time,10:40:07
Latitude (decimal degrees),38.67
Longitude (decimal degrees),20.6
Depth (km),11
Mw,6.5
Max Intensity (MMI),VIII
Fault mechanism,Strike-slip
Tectonic region type,Active Shallow Crust
Fatalities,0-2
Injured,04-Oct
Displaced population,
Affected population,
Affected units,
Damaged units,
Collapsed units,1 Buildings
Economic losses,20 M USD
Insured losses,
Earthquake-triggered effects,"Landslides, rock falls, road cracks, ground subsidence, liquefaction"
USGS event ID,us10003ywp
Wikipedia page,https://en.wikipedia.org/wiki/2015 Lefkada earthquake
